"miR_name","Other_B_Myoblast_Healthy_M180","Other_B_Myoblast_Healthy_M194","Other_B_Myoblast_Healthy_V1024","Other_B_Myoblast_DMD_M197","Other_B_Myoblast_DMD_M202","Other_B_Myoblast_DMD_M418","Other_B_Myotube_Healthy_M180","Other_B_Myotube_Healthy_M194","Other_B_Myotube_Healthy_V1024","Other_B_Myotube_DMD_M197","Other_B_Myotube_DMD_M202","Other_B_Myotube_DMD_M418","G1B_D0_Healthy_M180","G1B_D0_Healthy_M194","G1B_D0_Healthy_M398","G1B_D0_DMD_M197","G1B_D0_DMD_M202","G1B_D0_DMD_M418","G1B_D03_Healthy_M180","G1B_D03_Healthy_M194","G1B_D03_Healthy_M398","G1B_D03_DMD_M197","G1B_D03_DMD_M202","G1B_D03_DMD_M418","G1B_D10_Healthy_M180","G1B_D10_Healthy_M194","G1B_D10_Healthy_M398","G1B_D10_DMD_M197","G1B_D10_DMD_M202","G1B_D10_DMD_M418","G1B_D17_Healthy_M180","G1B_D17_Healthy_M194","G1B_D17_Healthy_M398","G1B_D17_DMD_M197","G1B_D17_DMD_M202","G1B_D17_DMD_M418","G1B_D25_Healthy_M180","G1B_D25_Healthy_M194","G1B_D25_Healthy_M398","G1B_D25_DMD_M197","G1B_D25_DMD_M202","G1B_D25_DMD_M418"
"1383","MIR503",2384.79,2148.88,1258,1668.81,1273.29,323.25,4827.49,3344.69,4592.7,1348.65,1437.91,1049.45,224.96,579.62,292.04,330.26,456.98,214.07,12780.17,4460.94,3849.69,4525.69,4658.22,6695.81,3295.01,1914.71,3711.51,2179.31,2396.59,5017.17,18754.96,11424.13,10966.48,8227.4,11869.32,6474.16,20407.26,12811.79,14900.17,7666.66,7522.3,8060.43
"1384","Z83826.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1385","AL590282.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1386","AL391380.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1387","Z97632.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1388","MIR934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,35.3,133.87,11.34,2.37,1.09,2.47,346.81,399.65,43.48,16.06,0.66,0,3.5,7.9,1.53,0.28,0,0,1.1,0.75,0,0,0
"1389","AL390879.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1390","MIR504",0,0,0.87,0,0,0,4.91,2.28,1.68,0,0,0,43.8,52.41,34.96,65.48,88.19,62.54,44.02,28.57,13.25,24.2,49.68,33.92,0.82,1.45,1.36,2.72,1,0.66,10.48,18.85,3.16,2.83,4.24,2.06,26.18,32.87,26.34,8.43,21.36,8.23
"1391","AL033403.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1392","MIR505",465.88,360.75,227.94,283.03,501.73,484.87,257.63,243.46,189.38,355.14,447.19,404.4,1168.62,1247.61,917.25,1078.09,984.1,1096.82,790.28,558.88,697.17,481.68,468.36,611.69,540.67,341.96,480.31,403.53,512.84,467.86,516.32,463.94,437.98,483.71,345.88,499.47,412.4,327.64,386.03,289.32,268.62,349.66
"1393","AL121875.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1394","MIR320D2",0,0,0.87,0,0,0,0,0,0,0,0,0,1.99,0,0,1.9,2,0,2.17,0,2.65,5.29,0.59,6.57,1.23,0.48,0,0,0,0.66,0,0.81,1.18,1.09,3.11,0.41,0.53,0,3.01,5.8,0.47,5.18
"1395","AL080272.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1396","AL030997.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1397","AL445258.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1398","hsa-mir-892c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1399","MIR890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1400","MIR888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0.82,0.48,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0
"1401","MIR892A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1402","MIR892B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0
"1403","MIR891B",0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404","MIR891A",0,0,0,0,0,0,0,0,0.56,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.53,0,0
"1405","MIR513C",0,0,0,0,0,0,0,0,0.56,0,0,0,1.99,0,2.06,0,0,0,0,3.36,8.62,3.02,1.18,0,0,0.97,2.72,0,0,0,0,0,0.39,0.22,0.56,0.41,0.8,0,0,1.05,1.42,0
"1406","MIR513B",0,0,0,0,0,0,0,0,0,0,0,0,3.98,1.03,0,2.85,0,2.41,0,3.36,4.64,3.02,0,0,0,0.97,0.45,1.36,3.01,0.66,0,0,0,0.22,1.13,0,0,0,0.75,0.53,0.47,0.3
"1407","MIR513A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1408","MIR513A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1409","MIR506",0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,7.29,0.76,0,0,0,0,0.45,0,1,1.32,0,0.27,0,0,0,0,0,1.1,0.75,0.53,2.37,0.61
"1410","MIR507",0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,2,0,0,0.84,0.66,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.53,0,0.61
"1411","MIR508",0,0,0,0,0,0,0,0,0,0,0,0,1.99,4.11,0,0,0,4.81,0,3.36,13.25,3.78,1.77,1.09,0,1.94,4.98,1.36,2.01,1.32,0,1.35,2.37,1.09,0.85,0.82,1.87,4.38,1.5,3.16,1.42,0.3
"1412","MIR514B",0,0,0,0,0,0,1.23,0,0,0,0,0,1.99,0,2.06,0.95,2,2.41,0,0.84,17.23,4.54,3.55,2.19,0.41,0.48,1.81,0,2.01,0.66,0.33,0.54,1.97,0.87,1.98,0,1.34,1.1,0,3.69,1.9,0
"1413","MIR509-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1414","MIR509-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,7.29,0,1.77,0,0,0,2.27,0,0,0.66,0,0,0.39,0.22,0,0.41,0,0,0.75,1.05,1.42,0
"1415","MIR509-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1416","MIR510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,11.93,0.76,0,0,0,0.48,0.45,0,0,0,0,0,0.39,0,0.56,0,0,0,0.75,0.53,0,0
"1417","MIR514A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1418","MIR514A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1419","MIR514A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1420","AC231656.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1421","MIR2114",2.7,0,3.48,1.63,0,0,2.45,3.41,2.8,4.36,23.63,7.44,0,1.03,0,0,0,0,1.44,0.84,0.66,0.76,1.77,2.19,0.41,0,0,2.72,1,0.66,0.33,0.27,0.39,0.22,0,0.41,1.87,10.96,3.76,6.85,3.32,5.79
"1422","AC109994.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1423","MIR4330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1424","AF274855.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1425","MIR224",203.91,250.12,354.08,241.12,144.95,323.25,133.72,78.5,209.55,84.97,83.62,47.14,159.27,131.54,55.53,62.64,96.21,144.32,87.33,27.73,13.92,24.2,47.31,63.47,176.11,95.91,22.2,35.33,28.1,142.54,42.59,75.93,19.75,69.32,76.24,118.59,23.77,16.44,14.3,14.23,39.87,51.82
"1426","MIR452",203.91,121.45,171.39,95.8,149.41,0,90.78,98.98,87.41,119.83,69.08,69.47,31.85,73.99,45.25,38.91,76.16,84.19,44.02,20.17,13.25,15.12,25.43,25.17,138.66,78.47,14.5,16.3,27.1,81.83,28.5,28.81,15.8,44.25,39.25,76.59,10.15,6.57,2.26,12.12,13.29,28.96
"1427","MIR105-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1428","MIR767",1.35,2.41,0,0,0,0,0,1.14,0,0,0,0,117.46,97.63,98.72,116.73,78.17,93.81,12.99,15.97,13.25,16.64,15.38,17.51,7.41,8.23,14.95,10.87,17.06,17.16,3.28,10.23,5.53,19.18,8.19,15.65,0.8,9.86,2.26,3.69,3.8,1.83
"1429","MIR105-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1430","AC152005.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1431","MIR3202-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1432","MIR718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1433","BX664739.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1434","MIR1184-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1435","MIR1184-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1436","MIR1184-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1437","MIR596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1438","MIR4659B",0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0.59,0,0,0,1.81,0,1,0,0.33,0,0,0,0.28,0.41,0,0,0,0,0,0
"1439","AF228730.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1440","AF228730.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1441","AC130360.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1442","AC130365.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1443","MIR548I3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1444","AC068020.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1445","AC087269.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1446","MIR4660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,1.68,0,2.27,0.59,10.94,0,0,0.91,0,1,0,0,2.42,0,0.65,0.56,0,0.8,2.19,0,1.05,0,0.61
"1447","MIR597",2.7,0,0,1.09,0,0,0,0,0,2.18,0,0,45.79,41.11,45.25,33.22,26.06,48.11,19.49,14.29,15.91,18.15,19.52,7.66,17.69,15.02,17.67,14.95,18.06,14.52,17.69,18.04,14.22,15.69,15.25,17.29,8.01,5.48,17.31,11.07,18.03,6.1
"1448","AC023385.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1449","MIR4286",1.35,0,0.87,0,0,0,0,2.28,3.36,2.18,1.82,4.96,5.97,0,0,0,2,0,0,0,0,1.51,0,0,0.41,0,0,0,1,0.66,0.33,0.81,0.39,0.44,0.56,0.41,1.87,5.48,9.78,6.85,6.64,3.96
"1450","MIR598",62.12,51.71,27.84,45.72,33.45,0,66.25,70.53,14.01,19.61,49.08,81.87,408.12,414.16,218,314.13,176.38,449.79,89.49,63.03,97.42,74.86,83.97,54.71,134.14,137.08,89.26,82.88,90.32,104.26,89.44,77.82,63.98,59.29,55.34,90.59,186.44,142.45,122.66,136.49,176.55,94.81
"1451","AC145124.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1452","AC087203.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1453","AC130352.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1454","AC068587.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1455","AC068587.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1456","MIR5692A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1457","MIR3926-2",2.7,0,0.87,0,2.23,0,0,1.14,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.87,0.28,2.06,0,0,0,0,0,0.91
"1458","AC090133.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1459","AC021760.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1460","MIR383",0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,2.06,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,2.19,0,0,0.95,0.3
"1461","AC091559.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1462","MIR548V",0,1.2,0,0.54,2.23,0,0,0,0,0,0,2.48,0,1.03,0,0,0,0,0,1.68,0,0.76,4.73,0,0,0.97,0,0,0,0,1.31,0,0,1.09,2.26,2.06,0.27,0,0,0.53,0,0.91
"1463","AC090420.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1464","AC021613.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1465","AC009695.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1466","AC022716.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1467","MIR320A",359.2,200.82,597.68,410.4,171.7,969.74,170.53,211.6,491.37,250.56,205.42,352.3,547.48,409.02,390.76,346.39,408.87,413.71,356.53,294.99,210.74,332.72,314.02,552.6,228.36,138.53,212.97,164.4,231.83,209.85,152.34,203.03,119.27,113.79,118.31,54.35,272.18,432.83,331.1,359.93,355,375.87
"1468","AC012119.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1469","MIR548H4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1470","AC090150.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1471","MIR3622B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0.65,0.56,0.41,0.27,0,0.75,0,1.9,0
"1472","MIR4287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1473","MIR4288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1474","AC084262.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1475","AC084262.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1476","AC084262.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1477","AC131254.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1478","MIR3148",0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0.59,0,0.82,0.48,0.45,0,0,0,1.64,0.81,0,1.96,0,0,0,0,0,0,0,0
"1479","AC104037.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1480","AC098612.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1481","AC144573.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1482","AC123767.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1483","AC136365.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1484","MIR548AO",0,0,0,0.54,0,0,0,0,0,0,0,0,7.96,1.03,6.17,0,0,7.22,1.44,0,0,0,0,0,0.82,0,1.81,1.36,0,0,0.98,0.54,1.18,4.58,1.41,2.88,0.8,2.19,0,3.69,0.47,2.13
"1485","MIR486",0,2.41,0,0,0,0,2.45,3.41,1.68,0,3.64,0,1.99,1.03,0,0.95,0,0,1.44,0,0.66,0.76,2.96,1.09,0,0,0,0,0,0.66,0,1.08,1.58,0,0.28,0,0.8,1.1,7.52,0.53,0.95,0.61
"1486","MIR4469",0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0
"1487","AC022616.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1488","AC134698.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1489","AC026241.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1490","AC103686.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1491","AC009800.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1492","AC016113.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1493","AC100817.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1494","AC018607.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1495","AC025674.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1496","MIR4470",0,0,0.87,0.54,0,0,0,0,0,2.18,1.82,0,1.99,2.06,2.06,0,0,0,0.72,0,0.66,0,0,0,0.41,0.48,0.91,0,1,0.66,0.33,1.35,0.79,0.87,0,0.41,0.8,0,1.5,2.63,0.95,1.22
"1497","MIR124-2",0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1498","AC109335.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1499","AC022861.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500","AC099805.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1501","AC104012.1",0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0
"1502","MIR5681A",0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0.95,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0.98,1.35,0.79,0.44,0.85,1.24,0,0,0,0,0,0
"1503","AC016194.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1504","hsa-mir-3149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.41,0,0,0,0,0,0
"1505","AC105242.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1506","AC009941.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1507","MIR5708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
