"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"67","O00291",12.05,11,12,1.105,1.2,1.138,1.533,1.422,1.244,1.452,1.272,1.448,9,1.31,0.05,0,0.005
"68","O00295",2.31,1,1,0.778,1.296,1.433,1.653,1.142,1.478,0.886,1.016,0.612,9,1.14,0.12,0.985,0.992
"69","O00299",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"70","O00303",18.21,5,5,1.014,0.615,0.734,0.9,0.935,0.751,1.236,0.714,1.323,9,0.91,0.08,0.524,0.693
"71","O00330",14.17,7,7,0.885,1.154,1.066,0.905,0.975,0.885,0.713,1.001,0.828,9,0.93,0.04,0.139,0.295
"72","O00399",9.47,2,2,1.102,1,1.143,1.294,1.371,1.119,1.232,1.18,1.305,9,1.19,0.04,0,0.01
"73","O00410",11.67,12,12,0.984,0.628,0.53,0.607,0.663,0.732,1.05,0.768,1.214,9,0.8,0.08,0.08,0.213
"74","O00422",22.22,5,5,0.927,1.14,1.327,1.297,1.053,1.175,0.977,0.945,0.83,9,1.07,0.06,0.632,0.778
"75","O00425",40.41,19,24,1.016,0.754,0.702,0.893,0.907,0.923,1.267,0.953,1.285,9,0.97,0.07,0.801,0.885
"76","O00429",26.36,14,14,1.014,0.617,0.623,0.743,0.715,0.703,1.168,0.669,1.139,9,0.82,0.07,0.089,0.226
"77","O00442",9.84,3,3,0.981,1.013,0.903,0.939,0.832,0.947,1.222,0.835,1.082,9,0.97,0.04,0.611,0.761
"78","O00443",0.83,1,2,0,0.533,0.606,0,0,0,0,0,1.311,3,0.82,0.25,0.564,0.726
"79","O00458",1.77,1,1,0.689,0.651,1.669,1,0.987,0.386,0.407,0.378,0.402,9,0.73,0.14,0.037,0.133
"80","O00461",9.48,6,6,0.822,1.368,1.202,1.248,1.247,1.404,0.949,1.164,0.772,9,1.13,0.08,0.563,0.725
"81","O00468",3.63,5,6,1.096,1.111,1.084,0.898,1.1,1.019,1.021,1.108,1.046,9,1.05,0.02,0.051,0.162
"82","O00469",9.77,7,7,1.131,1.687,1.264,1.211,1.39,1.519,1.041,1.7,1.098,9,1.34,0.08,0.005,0.038
"83","O00471",4.94,3,4,1.831,2.001,1.765,0.921,0.549,1.031,0.943,0.612,0.562,9,1.14,0.19,0.791,0.88
"84","O00479",23.33,2,2,0.919,1.436,1.326,1.096,1.136,1.128,0.731,1.05,0.854,9,1.08,0.07,0.726,0.838
"85","O00483",28.4,3,3,0.873,0.879,1.004,1.079,0.938,0.994,0.984,0.808,0.84,9,0.93,0.03,0.025,0.106
"86","O00487",11.61,4,4,0.839,0.526,0.67,0.853,1.094,0.968,1.151,1.01,1.218,9,0.93,0.08,0.394,0.575
"87","O00488",10.45,1,1,0.82,1.145,1.183,1.087,1.253,1.039,0.743,1.191,0.856,9,1.04,0.06,0.972,0.986
"88","O00499",34.91,18,20,1.081,1.241,2.054,1.922,2.457,1.268,0.997,1.361,1.318,9,1.52,0.17,0.006,0.044
"89","O00505",16.31,4,8,1.013,0.761,0.779,0.916,0.701,1.003,1.328,0.698,0.959,9,0.91,0.07,0.118,0.268
"90","O00512",5.75,5,5,1.145,1.485,1.372,1.13,1.53,1.209,0.931,1.628,1.26,9,1.3,0.07,0.003,0.026
"91","O00534",14.5,10,10,0.966,0.873,0.851,0.832,0.913,1.024,1.123,1.044,1.268,9,0.99,0.05,0.989,0.993
"92","O00541",10.71,6,6,0.887,1.132,0.943,0.719,0.735,0.789,0.708,0.791,0.722,9,0.83,0.05,0.005,0.036
"93","O00560",5.7,2,2,0.908,0.938,1.116,1.877,1.116,1.559,1.508,0.923,0.897,9,1.2,0.12,0.322,0.503
"94","O00566",11.89,8,9,1.343,1.241,1.166,0.858,0.951,0.914,0.985,1.008,1.095,9,1.06,0.05,0.173,0.339
"95","O00567",36.7,18,18,0.955,1.011,0.908,0.764,0.686,0.838,0.822,0.744,0.734,9,0.83,0.04,0.002,0.02
"96","O00571",33.38,8,21,0.979,0.776,0.707,0.767,0.758,0.799,1.015,0.762,1.017,9,0.84,0.04,0.017,0.082
"97","O00584",6.64,2,2,0.986,1.201,1.227,1.077,1.305,1.042,0.854,1.255,1.034,9,1.11,0.05,0.075,0.206
"98","O00592",7.53,4,4,1.032,2.204,1.035,0.495,0.856,1.168,0.536,1.793,0.94,9,1.12,0.19,0.923,0.959
"99","O00625",3.45,1,1,0,0,0,0,0,0,0,0,1.166,1,0,0,0,0
"100","O00629",14.59,3,7,0.792,1.03,0.741,0.83,0.645,1.014,0.876,0.771,0.68,9,0.82,0.04,0.001,0.013
"101","O00635",2.37,1,1,0,0,0,0,1.611,0,0,0.763,0,2,0,0,0,0
"102","O00746",4.28,1,1,1.454,1.829,1.203,0.994,1.131,1.493,1.186,1.69,1.348,9,1.37,0.09,0.002,0.023
"103","O00754",9.2,8,8,1.095,1.463,1.013,0.844,0.986,1.188,0.886,1.605,0.835,9,1.1,0.09,0.641,0.785
"104","O00767",3.62,1,1,1.216,1.325,1.769,1.702,2.226,1.26,1.155,1.882,1.733,9,1.59,0.12,0,0.006
"105","O14495",7.07,2,2,1.424,2.922,1.546,1.565,0.433,3.866,1.882,0.812,0.397,9,1.65,0.38,0.927,0.961
"106","O14497",13.39,22,22,1.151,1.229,1.043,1.018,1.014,1.161,1.055,1.134,1.065,9,1.1,0.02,0.006,0.043
"107","O14524",3.83,2,2,0.5,0.798,0.842,1.338,0.992,1.252,0.783,0.924,0.581,9,0.89,0.09,0.044,0.149
"108","O14530",11.95,3,3,1.276,1.114,1.289,1.055,1.439,1.047,1.116,1.135,1.463,9,1.21,0.05,0.001,0.013
"109","O14531",9.97,5,5,1.306,1.125,1.263,1.237,2.176,1.089,1.263,1.906,2.22,9,1.51,0.15,0.001,0.018
"110","O14545",6.19,3,3,0,0,0,0.747,1.651,0,0,1.545,1.779,4,1.43,0.23,0.095,0.235
"111","O14548",26.32,3,3,0.82,0.767,1.033,1.278,1.038,0.938,0.864,0.758,0.76,9,0.92,0.06,0.088,0.223
"112","O14561",15.38,3,3,1.047,1.655,1.6,1.301,1.133,1.302,0.819,1.073,0.695,9,1.18,0.11,0.526,0.695
"113","O14562",12.94,4,4,1.226,1.126,1.237,1.252,1.5,1.044,1.132,1.363,1.469,9,1.26,0.05,0,0.005
"114","O14578",2.71,5,5,2.201,1.483,1.207,0.791,0.998,1.266,1.975,1.205,1.836,9,1.44,0.16,0.015,0.076
"115","O14579",11.04,4,4,0.939,0.754,1.206,1.26,1.335,0.884,1.168,0.932,1.237,9,1.08,0.07,0.175,0.34
"116","O14595",4.06,1,1,0,0,0,1.367,0,1.457,0,0,0,2,0,0,0,0
"117","O14602",40.28,1,7,0.75,8.18,1.871,2.283,2.894,9.864,0.903,12.442,1.144,9,4.48,1.48,0.045,0.15
"118","O14617",11.45,9,9,1.032,0.77,0.698,0.688,0.664,0.923,1.178,0.738,1.024,9,0.86,0.06,0.056,0.172
"119","O14618",21.53,4,4,1.163,0.991,1.287,1.161,1.838,1.034,0.999,1.233,1.336,9,1.23,0.09,0.008,0.051
"120","O14639",8.61,5,6,0.816,2.693,2.814,3.41,4.617,3.225,0.976,4.343,1.321,9,2.69,0.47,0.011,0.061
"121","O14641",7.34,4,4,1.337,1.295,1.229,0,1.084,0,0,1.123,1.165,6,1.21,0.04,0.001,0.014
"122","O14646",7.6,7,7,1.111,1.35,0.804,1.029,0.689,1.434,1.191,1.148,1.013,9,1.09,0.08,0.776,0.87
"123","O14647",3.94,6,6,0,0,0,0,0.599,0,0.561,0.974,1.288,4,0.86,0.17,0.509,0.682
"124","O14656",13.25,4,4,0.97,1.573,1.256,1.016,1.027,0.916,0.627,1.331,0.8,9,1.06,0.1,0.886,0.938
"125","O14657",7.44,2,3,0.993,1.238,0.866,0.778,0.692,1.1,0.881,0.973,0.783,9,0.92,0.06,0.057,0.174
"126","O14662",11.08,3,3,1.315,1.026,1.222,1.164,1.135,0.966,1.237,0.937,1.205,9,1.13,0.04,0.003,0.029
"127","O14672",8.29,6,6,1.279,1.304,1.325,1.034,1.105,1.338,1.013,1.227,0.998,9,1.18,0.05,0.014,0.073
"128","O14683",13.23,2,2,0.809,0.928,1.258,1.42,1.4,1.035,0.901,1.015,0.888,9,1.07,0.08,0.615,0.764
"129","O14686",3.02,9,9,2.569,1.581,1.363,1.382,0.991,1.583,2.57,0.984,1.201,9,1.58,0.2,0.016,0.079
"130","O14730",1.54,1,1,0.941,1.082,1.262,1.146,1.294,0.971,0.844,1.091,0.953,9,1.06,0.05,0.291,0.472
"131","O14732",7.29,2,2,0,0,0,0.891,0,0,0,0,0,1,0,0,0,0
"132","O14733",1.91,1,1,1.112,0.971,1.032,1.789,0.969,1.664,1.903,0.896,1.03,9,1.26,0.13,0.17,0.335
"133","O14737",50.4,6,6,1.146,0.824,1.104,1.112,1.108,0.865,1.093,0.848,1.068,9,1.02,0.04,0.444,0.627
"134","O14744",13.19,8,8,0.963,0.811,0.793,0.906,1.014,0.907,1.085,1.004,1.174,9,0.96,0.04,0.701,0.823
"135","O14745",29.05,8,8,1.348,1.288,1.403,1.84,1.666,1.183,1.405,1.119,1.286,9,1.39,0.08,0,0.006
"136","O14756",2.84,1,1,0.715,0.889,1.034,1.479,1.616,1.258,1.009,1.367,1.102,9,1.16,0.1,0.249,0.425
