"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"2558","Q4J6C6",6.88,5,5,0.773,1.104,1.361,1.217,2.43,1.127,0.78,1.263,0.946,9,1.22,0.17,0.315,0.497
"2559","Q4KMQ2",2.97,2,2,0.695,1.217,0.969,0.923,0.989,1.146,0.654,1.221,0.7,9,0.95,0.07,0.142,0.299
"2560","Q4LDG9",8.42,1,1,1.163,1.164,1.627,1.379,0,0.976,0.974,0,0,6,1.21,0.1,0.067,0.192
"2561","Q4V328",14.63,9,9,1.303,1.092,1.474,1.166,1.383,0.832,0.987,0.922,1.076,9,1.14,0.07,0.028,0.112
"2562","Q4V339",10.89,4,4,1.242,0.939,0.991,0.861,0.854,0.865,1.042,0.841,1.153,9,0.98,0.05,0.938,0.968
"2563","Q4VC05",20.95,3,3,1.133,1.103,1.853,1.392,1.415,1.056,0.933,0.976,0.866,9,1.19,0.1,0.162,0.324
"2564","Q4VC31",31.25,4,4,0.951,1.48,1.353,1.086,0.941,1.18,0.758,1.108,0.714,9,1.06,0.08,0.897,0.944
"2565","Q4ZIN3",3.39,2,2,0,0,0.974,0,0,0,0,0,0,1,0,0,0,0
"2566","Q52LJ0",12.12,3,3,1.293,1.144,1.033,0.923,0.935,1.082,1.042,1.074,1.039,9,1.06,0.04,0.171,0.336
"2567","Q52LR7",1.61,1,1,0,0,1.274,0.684,0.92,0,0,0,0,3,0.96,0.17,0.721,0.836
"2568","Q53EL6",13.86,7,7,0.975,1.017,1.01,1.894,0.866,1.678,1.757,0.789,0.863,9,1.21,0.15,0.57,0.73
"2569","Q53EP0",4.15,4,4,0.666,0.898,1.057,0.646,1.009,0.787,0.56,1.224,0.875,9,0.86,0.07,0.088,0.224
"2570","Q53ET0",1.01,1,1,0,0,0,0.817,0.378,0.959,1.372,0.441,0.634,6,0.77,0.15,0.076,0.206
"2571","Q53EU6",11.52,4,5,0.909,0.979,1.059,0.928,1.171,0.848,0.786,1.064,0.992,9,0.97,0.04,0.64,0.784
"2572","Q53EZ4",6.9,3,3,1.306,1.029,1.093,0.907,1.344,0.721,0.995,1.064,1.474,9,1.1,0.08,0.03,0.117
"2573","Q53F19",11.45,5,6,1.118,1.31,1.342,1.34,1.163,1.232,0.996,1.199,0.927,9,1.18,0.05,0.028,0.112
"2574","Q53FA7",23.49,7,7,0.732,0.819,1.359,1.513,1.558,1.092,0.93,0.938,0.919,9,1.1,0.1,0.656,0.794
"2575","Q53GG5",13.19,3,3,0.884,1.614,1.705,1.856,2.251,1.763,0.959,2.302,1.294,9,1.63,0.17,0.008,0.052
"2576","Q53GQ0",15.38,4,4,0.666,0.767,0.699,0.913,0.742,1.008,0.8,0.748,0.661,9,0.78,0.04,0,0.002
"2577","Q53GS7",7.45,4,4,0.686,0.813,0.691,0.859,0.991,1,0.843,1.165,0.9,9,0.88,0.05,0.031,0.12
"2578","Q53GS9",11.68,6,6,0.885,0.827,0.821,0.795,0.969,0.957,1.027,0.839,0.971,9,0.9,0.03,0.009,0.055
"2579","Q53H12",15.88,9,9,0.637,0.753,0.684,0.849,0.798,0.89,0.775,0.737,0.768,9,0.77,0.03,0,0.001
"2580","Q53H47",1.75,1,1,0.511,0.53,0.755,1.666,1.993,1.155,1.113,1.374,1.331,9,1.16,0.17,0.707,0.827
"2581","Q53S33",13.08,2,2,0.989,1.339,1.225,0.921,0.752,0.995,0.734,0.808,0.599,9,0.93,0.08,0.135,0.29
"2582","Q53T59",2.81,1,1,1.012,0.969,1.228,0.739,1.116,0.576,0.602,0.866,0.908,9,0.89,0.07,0.238,0.413
"2583","Q567U6",7.92,5,5,1.482,1.053,0.978,0.956,1.084,1.018,1.431,1.148,1.621,9,1.2,0.08,0.016,0.081
"2584","Q569K6",1.86,1,2,1.238,1.064,1.265,1.245,0.87,1.013,1.202,1.058,0.775,9,1.08,0.06,0.522,0.691
"2585","Q56VL3",19.48,3,3,0.801,0.736,0.792,0.95,1.168,0.728,0.71,0.737,0.785,9,0.82,0.05,0.006,0.042
"2586","Q58EX2",2.62,4,4,1.498,1.722,2.213,1.881,1.47,1.447,1.257,1.125,0.981,9,1.51,0.13,0.007,0.047
"2587","Q5BJH2",8.48,1,1,1.152,1.902,0.933,0.687,0.702,1.383,0.837,1.406,0.854,9,1.1,0.13,0.899,0.944
"2588","Q5BKX8",17.86,7,7,0.628,0.812,2.979,3.159,4.992,0.798,0.65,1.338,1.041,9,1.82,0.51,0.206,0.379
"2589","Q5BKY9",3.24,1,1,1.218,0.823,1.074,0.837,1.151,0.634,0.937,0.867,1.287,9,0.98,0.07,0.598,0.752
"2590","Q5BKZ1",12.2,7,7,1.189,1.319,1.492,1.309,1.213,1.282,0.808,1.204,0.801,9,1.18,0.08,0.24,0.414
"2591","Q5C9Z4",3.02,2,2,0,0,2.234,0,0,0,0,0,0,1,0,0,0,0
"2592","Q5EB52",3.28,1,1,1.649,2.037,1.463,1.051,0.766,1.446,1.169,1.049,0.852,9,1.28,0.14,0.218,0.393
"2593","Q5EBL4",13.65,4,4,0.952,0.938,0.833,0.848,1.04,0.943,0.956,1.151,1.172,9,0.98,0.04,0.959,0.978
"2594","Q5EBL8",11.43,1,2,0.965,0.927,0.909,1.134,0.987,1.142,1.188,0.989,1.034,9,1.03,0.03,0.651,0.791
"2595","Q5GLZ8",6.53,5,5,1.17,0,0.435,0.766,1.014,1.308,1.727,1.464,1.246,8,1.14,0.14,0.739,0.846
"2596","Q5H9R7",9.74,7,7,1.319,0.799,0.628,0.672,0.653,0.845,1.394,0.817,1.354,9,0.94,0.11,0.642,0.785
"2597","Q5HYJ3",8.85,3,3,1.096,1.231,1.481,1.412,1.263,1.16,0.946,1.032,0.805,9,1.16,0.07,0.211,0.385
"2598","Q5HYK7",1.27,1,1,1.101,0.798,0.624,1.065,1.181,1.347,1.856,1.486,2.057,9,1.28,0.16,0.139,0.294
"2599","Q5HYW2",1.55,1,1,0,1.269,1.941,1.15,0.914,0.743,0,0.588,0,6,1.1,0.2,0.695,0.819
"2600","Q5J8M3",15.3,2,2,1.007,1.115,2.014,1.304,1.41,0.848,0.776,0.912,0.839,9,1.14,0.13,0.417,0.598
"2601","Q5JPH6",8.41,4,4,0.909,0.904,0.838,0.727,0.699,0.775,0.779,0.742,0.749,9,0.79,0.03,0,0.004
"2602","Q5JRA6",13.9,22,23,1.272,1.288,1.169,0.876,0.946,1.075,0.92,0.992,0.847,9,1.04,0.06,0.859,0.924
"2603","Q5JRX3",17.74,18,18,0.608,0.839,0.929,0.896,1.001,0.87,0.62,0.88,0.676,9,0.81,0.05,0.004,0.036
"2604","Q5JSH3",14.9,11,11,0.775,0.843,1.457,1.534,2.146,0.877,0.775,0.977,1.006,9,1.15,0.16,0.43,0.614
"2605","Q5JSL3",4.1,6,6,0.878,0.546,0.649,1.395,1.743,1.097,1.426,1.364,1.487,9,1.18,0.14,0.376,0.557
"2606","Q5JSZ5",5.7,9,11,1.568,1.27,1.316,1.179,1.183,1.124,1.387,1.123,1.391,9,1.28,0.05,0,0.004
"2607","Q5JTD0",4.31,2,2,0.701,0,1.274,1.892,1.358,0,1.028,0,0.737,6,1.17,0.18,0.755,0.857
"2608","Q5JTH9",9.33,11,11,0.688,0.762,0.763,0.866,0.845,0.846,0.727,0.789,0.752,9,0.78,0.02,0,0.001
"2609","Q5JTJ3",13.6,3,3,1.008,1.187,1.379,1.547,0.802,0.96,0.861,0.768,0.517,9,1,0.11,0.431,0.614
"2610","Q5JTV8",28.13,13,13,1.018,1.496,1.072,0.975,0.693,1.219,0.9,1.007,0.725,9,1.01,0.08,0.443,0.626
"2611","Q5JTZ9",14.52,12,12,0.809,0.862,0.688,0.791,0.714,0.96,0.909,0.84,0.917,9,0.83,0.03,0.001,0.014
"2612","Q5JVF3",2.26,1,1,0,0,0,0.682,0,0.996,1.212,0,0,3,0.96,0.15,0,0
"2613","Q5JVS0",1.94,1,1,0.659,0.628,0.923,1.289,1.58,0.866,0.908,1.056,1.112,9,1,0.1,0.916,0.955
"2614","Q5JWF2",4.92,5,5,1.005,0.871,0.686,0.751,0.689,1.075,0.995,0.852,0.836,9,0.86,0.05,0.004,0.036
"2615","Q5K4L6",7.53,3,3,0.882,0.822,0.873,1.031,0.707,0.96,1.028,0.655,0.705,9,0.85,0.05,0.006,0.044
"2616","Q5K651",2.77,2,3,0.72,0.712,1.143,2.551,2.139,1.57,1.586,1.31,1.329,9,1.45,0.2,0.095,0.234
"2617","Q5KU26",14.02,11,11,3.012,2.581,1.735,1.271,1.18,1.824,2.042,1.587,1.839,9,1.9,0.2,0,0.008
"2618","Q5PSV4",2.48,1,1,0.909,1.313,1.207,1.142,1.053,1.229,0.85,1.127,0.783,9,1.07,0.06,0.893,0.942
"2619","Q5QJE6",15.87,9,10,0.946,0.938,0.937,0.967,0.948,0.856,0.897,0.872,0.827,9,0.91,0.02,0.001,0.011
"2620","Q5R3I4",4.69,2,2,0.948,1.031,1.004,1.159,1.607,1.175,1.079,1.622,1.496,9,1.24,0.09,0.018,0.084
"2621","Q5RHP9",1.31,1,2,1.065,1.071,1.212,1.21,0.763,1.057,1.05,0.662,0.661,9,0.97,0.07,0.295,0.475
"2622","Q5RKV6",25.74,6,6,1.054,1.074,1.059,0.926,0.936,0.911,0.999,0.802,0.863,9,0.96,0.03,0.187,0.356
"2623","Q5S007",0.32,1,1,1.452,1.896,0.995,0.642,0.61,1.209,0.925,1.144,0.879,9,1.08,0.13,0.93,0.964
"2624","Q5SQI0",3.09,1,1,1.192,1.041,1.355,1.82,1.562,1.383,1.581,1.181,1.356,9,1.39,0.08,0.001,0.012
"2625","Q5SRE5",1.54,2,2,0,0,0,0,0.707,0,0,0,0.977,2,0,0,0.367,0.549
"2626","Q5SRE7",15.12,3,3,0.939,0.801,0.682,0.996,0.965,1.172,1.391,1.115,1.311,9,1.04,0.08,0.734,0.843
"2627","Q5SSJ5",23.87,14,14,0.966,1.135,1.086,1.076,0.952,1.151,0.952,0.972,0.828,9,1.01,0.04,0.533,0.702
"2628","Q5SW79",16.67,22,22,1.142,1.028,0.982,1.04,1.206,1.169,1.169,1.402,1.179,9,1.15,0.04,0.006,0.044
"2629","Q5SXM8",8.43,1,1,1.043,0.947,1.317,1.133,0.885,0.805,0.886,0.625,0.691,9,0.93,0.07,0.204,0.377
"2630","Q5SZK8",4.83,11,11,0.822,0.931,1.561,1.691,1.735,0.965,0.998,0.982,1.062,9,1.19,0.12,0.146,0.304
"2631","Q5T0B9",13.1,3,3,1.039,1.326,1.415,1.229,1.421,1.137,0.891,1.309,1.029,9,1.2,0.06,0.022,0.096
"2632","Q5T0F9",4.66,4,4,0.895,0.946,1.116,1.173,0.911,0.982,0.929,0.83,0.788,9,0.95,0.04,0.13,0.283
"2633","Q5T0N5",13.88,6,7,1.068,1.869,1.051,1.094,1.284,1.531,0.742,1.744,0.665,9,1.23,0.14,0.611,0.761
"2634","Q5T200",3.66,6,6,0.911,1.212,1.134,0.949,1.179,1.141,0.947,1.239,1.105,9,1.09,0.04,0.085,0.219
"2635","Q5T280",6.38,2,2,1.249,0.986,0.977,0.815,0.858,0.844,1.028,0.854,1.082,9,0.97,0.05,0.695,0.819
"2636","Q5T447",4.3,3,3,1.287,0.91,0.794,0.819,0.586,0.928,1.31,0.661,0.937,9,0.91,0.08,0.224,0.399
"2637","Q5T4S7",3.69,15,16,0.87,0.824,0.779,1.093,0.983,0.809,1.009,1.045,1.135,9,0.95,0.04,0.582,0.74
"2638","Q5T5N4",1.71,1,1,0.891,1.193,0.941,0.935,0.978,1.171,0.874,1.219,0.914,9,1.01,0.05,0.648,0.789
"2639","Q5T5P2",3.24,5,5,0.706,1.44,0.912,0.924,0.911,1.441,0.706,1.414,0.695,9,1.02,0.11,0.328,0.509
"2640","Q5T5Y3",4.12,6,6,1.202,0.892,1.376,1.845,1.217,1.378,1.452,1.177,1.405,9,1.33,0.09,0.004,0.031
"2641","Q5T653",17.7,4,4,0.879,1.108,0.912,0.884,0.815,0.797,0.821,0.769,0.79,9,0.86,0.03,0.004,0.032
"2642","Q5T6F2",9.56,9,9,0.857,0.887,1.125,1.4,1.214,0.844,1.031,0.616,0.92,9,0.99,0.08,0.769,0.867
"2643","Q5T6V5",6.74,2,2,2.344,0.728,2.704,4.309,1.93,1.147,3.688,0.511,1.651,9,2.11,0.43,0.037,0.134
"2644","Q5T7V8",7.61,3,3,0.644,0.808,0.776,0.917,1.681,1.399,0.781,1.737,1.389,9,1.13,0.14,0.696,0.819
"2645","Q5T890",1.73,2,2,0.702,0.342,0.942,1.038,1.492,0.373,0.763,0.533,1.097,9,0.81,0.12,0.216,0.391
"2646","Q5T8D3",9.36,5,5,0.824,0.82,0.697,0.939,1.323,1.27,1.015,1.142,1.227,9,1.03,0.07,0.992,0.995
"2647","Q5T8P6",18.27,17,19,0.89,1.058,1.025,1.047,0.897,1.102,0.959,0.925,0.775,9,0.96,0.03,0.075,0.205
"2648","Q5T9A4",19.29,2,13,0.651,1.055,0.932,0.674,0.677,0.727,0.661,0.725,0.663,9,0.75,0.05,0.001,0.014
"2649","Q5TA45",3,1,2,0.962,0.983,0.751,0.772,0.695,0.999,0.976,0.895,0.878,9,0.88,0.04,0.008,0.05
"2650","Q5TAQ9",1.34,1,1,0.466,0.468,0.458,0.453,0,0.458,0.455,0,0,6,0.46,0,0,0
"2651","Q5TBA9",0.76,2,2,0,0,0,0,1.278,0,0,0,1.851,2,0,0,0.058,0.175
"2652","Q5TBB1",17.31,5,5,1.1,0.878,0.806,0.862,0.818,0.917,1.147,0.876,1.101,9,0.95,0.04,0.376,0.557
"2653","Q5TC12",3.35,1,1,0.74,0.917,0.856,1.09,0.825,1.154,0.931,0.868,0.704,9,0.9,0.05,0.006,0.043
"2654","Q5TCX8",0.97,1,1,0.658,1.471,1.988,2.5,1.669,1.829,0.817,1.214,0.545,9,1.41,0.22,0.591,0.746
"2655","Q5TDH0",11.28,4,4,1.338,1.045,0.914,0.987,1.05,1.114,1.426,1.179,1.516,9,1.17,0.07,0.023,0.099
"2656","Q5TEU4",3.48,1,1,0,0.992,0,0,0,0,0,0,0,1,0,0,0,0
"2657","Q5TF21",6.76,2,3,0.711,0.744,0.862,1.141,1.053,0.974,0.929,0.894,0.857,9,0.91,0.05,0.047,0.154
"2658","Q5TFE4",4.18,2,2,1.251,0.734,0.674,0.838,0.849,0.902,1.537,0.909,1.557,9,1.03,0.11,0.726,0.838
"2659","Q5TGY3",2.93,4,4,1.096,0.879,0.96,1.056,1.041,1.081,1.288,0.922,1.153,9,1.05,0.04,0.25,0.426
"2660","Q5TGZ0",10.26,1,1,0.854,1.279,0.808,0.812,0.714,1.271,0.848,1.111,0.745,9,0.94,0.07,0.057,0.174
"2661","Q5TZA2",10.11,17,21,0.592,0.829,0.904,1.146,0.697,1.074,0.975,0.723,0.771,9,0.86,0.06,0.013,0.071
"2662","Q5UCC4",9.92,2,3,0,1.078,0,0,0,1.223,0.623,0.777,0.505,5,0.84,0.14,0.048,0.154
"2663","Q5UIP0",7.36,15,16,0.936,1.16,0.867,0.963,0.924,1.03,0.958,1.003,0.962,9,0.98,0.03,0.25,0.426
"2664","Q5VIR6",2.43,2,2,0.975,0.939,0.853,0.738,0.899,0.804,0.834,0.973,1.014,9,0.89,0.03,0.029,0.115
"2665","Q5VSL9",3.58,2,3,1.058,1.13,0.785,0.612,0.786,0.871,0.815,1.113,1.046,9,0.91,0.06,0.238,0.413
"2666","Q5VST9",4.33,22,23,0.611,0.937,1.659,1.58,2.106,1.049,0.691,1.372,0.898,9,1.21,0.17,0.49,0.665
"2667","Q5VT25",1.1,1,2,1.681,0.802,1.101,0.898,1.52,0.647,1.354,1.089,2.291,9,1.26,0.17,0.042,0.143
"2668","Q5VT52",16.22,16,16,1.278,1.33,1.391,0.977,0.997,1.05,0.992,0.967,0.776,9,1.08,0.07,0.592,0.747
"2669","Q5VTB9",3.36,2,2,1.219,1.672,1.618,1.4,1.49,1.43,1.042,1.514,1.108,9,1.39,0.07,0.001,0.018
"2670","Q5VTR2",17.23,18,19,1.154,1.068,1.184,1.246,1.115,1.066,0.998,0.877,1.087,9,1.09,0.04,0.046,0.151
"2671","Q5VTT5",8.07,9,9,0.383,0.772,1.815,2.154,2.789,0.881,0.478,1.051,0.603,9,1.21,0.28,0.831,0.907
"2672","Q5VU43",3.03,4,7,1.107,0.917,0.938,1.018,0.855,0.985,1.406,0.822,0.996,9,1,0.06,0.932,0.964
"2673","Q5VU97",0.78,1,1,0.99,1.1,1.114,0.985,0.868,0.961,0.864,0.843,0.761,9,0.94,0.04,0.102,0.244
"2674","Q5VUA4",3.12,6,6,1.235,1.25,0.929,1.052,0.983,1.098,1.068,1.397,1.374,9,1.15,0.06,0.015,0.078
"2675","Q5VV42",12.44,6,6,1.066,1.295,0.669,0.769,0.369,0.949,1.138,0.703,0.581,9,0.84,0.1,0.058,0.175
"2676","Q5VW32",2.68,1,1,1.036,0.834,0.854,1.085,1.096,1.047,1.3,1.052,1.312,9,1.07,0.05,0.205,0.378
"2677","Q5VWN6",1.11,2,3,0,0,1.149,0,0,0,0,0,0,1,0,0,0,0
"2678","Q5VWP3",6.77,3,3,0.853,1.484,0,0,0,1.342,0.771,1.495,0.863,6,1.13,0.14,0.871,0.93
"2679","Q5VWZ2",10.97,3,3,0.798,0.607,0.927,1.549,1.446,1.004,1.317,0.932,1.228,9,1.09,0.1,0.535,0.703
"2680","Q5VYK3",3.2,5,5,0.836,0.594,0.576,0.953,0.722,0.847,1.279,0.73,1.013,9,0.84,0.07,0.069,0.196
"2681","Q5VYS8",1.27,2,2,0,0,0,1.283,1.367,0,0.99,0,1.054,4,1.17,0.09,0.108,0.253
"2682","Q5VZ89",2.27,3,3,0.775,1.014,1.197,1.169,1.296,0.979,0.747,1.079,0.828,9,1.01,0.07,0.767,0.865
"2683","Q5VZE5",11.59,6,6,0.956,0.561,0.768,0.711,0.659,0.641,0.873,0.509,0.809,9,0.72,0.05,0.002,0.022
"2684","Q5VZF2",4.56,2,2,0.956,0.955,0.839,0.702,0.853,0.79,0.79,0.955,0.959,9,0.87,0.03,0.011,0.061
"2685","Q5VZL5",9.11,11,11,0.879,1.1,0.802,0.863,0.941,1.131,0.895,1.024,1.055,9,0.97,0.04,0.2,0.372
"2686","Q5VZP5",3.2,2,4,0.706,1.23,3.585,2.358,4.684,0.799,0.458,1.58,0.91,9,1.81,0.49,0.221,0.397
"2687","Q5W0B1",3.58,2,3,1.219,0,1.334,1.704,0,0,0.948,0,0,4,1.3,0.16,0.14,0.296
"2688","Q5W0Z9",8.22,2,2,1.417,0.914,1.463,1.352,0.845,0.835,1.293,0.519,0.807,9,1.05,0.11,1,1
"2689","Q5W5X9",3.8,1,1,1.452,1.869,1.274,0.91,0.995,1.319,1.024,1.435,1.119,9,1.27,0.1,0.036,0.131
"2690","Q5XKP0",11.86,2,2,1.091,1.322,1.188,0.855,0.916,1.029,0.829,0.865,0.846,9,0.99,0.06,0.536,0.704
"2691","Q5ZPR3",6.55,3,3,1.235,1.403,1.282,1.037,0.942,1.094,0.986,1.014,0.896,9,1.1,0.06,0.262,0.439
"2692","Q63HN8",2.75,12,12,1.554,0.747,1.165,1.07,0.647,0.835,1.456,0.457,1.01,9,0.99,0.12,0.712,0.83
"2693","Q63ZY3",12.22,6,8,1.299,1.19,0.783,0.759,0.662,1.139,1.242,0.989,1.084,9,1.02,0.08,0.844,0.915
"2694","Q641Q2",15.66,2,16,1.335,0.839,2.813,1.668,1.669,0.492,0.781,0.49,0.782,9,1.21,0.25,0.643,0.786
"2695","Q643R3",6.87,3,3,0,1.759,0.728,1.116,0,2.665,0,0,0,4,1.57,0.42,0.688,0.814
"2696","Q66K14",2.8,3,3,0,0,0,1.222,1.159,0.73,1.02,0.689,0.967,6,0.96,0.09,0.904,0.948
"2697","Q66K74",7.93,7,7,0.922,0.62,0.845,1.311,1.574,0.746,1.323,0.825,1.587,9,1.08,0.12,0.373,0.554
"2698","Q66LE6",8.39,1,3,1.09,1.164,0.61,0.373,0.669,0.703,0.658,1.256,1.18,9,0.86,0.11,0.262,0.439
"2699","Q676U5",1.48,1,1,0.809,0.969,0.53,0.672,0.65,1.216,1.014,1.17,0.98,9,0.89,0.08,0.081,0.213
"2700","Q68BL7",5.37,3,3,0.779,0.667,0.589,0.87,0.824,0.973,1.134,0.917,1.074,9,0.87,0.06,0.075,0.205
"2701","Q68CP9",1.09,2,2,1.266,0.993,1.077,1.097,1.069,1,1.273,0.969,1.24,9,1.11,0.04,0.008,0.051
"2702","Q68CQ4",6.08,4,5,0.77,0.818,0.906,0.806,0.902,0.719,0.676,0.669,0.632,9,0.77,0.03,0,0.008
"2703","Q68CQ7",6.47,2,2,1.39,0,0,0,0,0,0,0,0,1,0,0,0,0
"2704","Q68CZ2",8.3,8,8,1.074,0.854,0.387,0.412,0.505,0.9,1.13,0.811,1.243,9,0.81,0.11,0.142,0.298
"2705","Q68D10",2.77,2,2,0.763,1.245,1.144,1.039,1.281,1.118,0.684,1.371,0.843,9,1.05,0.08,0.993,0.995
"2706","Q68D91",5.38,1,1,0,0,0,0.707,0.501,1.047,1.241,0.738,0.879,6,0.85,0.11,0.129,0.281
"2707","Q68DX3",0.76,1,1,1.02,1.201,1.288,1.215,1.034,1.12,0.95,0.948,0.808,9,1.06,0.05,0.688,0.814
"2708","Q68E01",4.79,5,5,1.171,1.254,1.186,1.319,1.09,1.378,1.285,1.133,1.062,9,1.21,0.04,0,0.01
"2709","Q69YN2",7.81,4,4,1.167,0.67,0.621,0.924,0.982,0.984,1.713,0.571,0.998,9,0.96,0.12,0.437,0.62
"2710","Q69YN4",2.92,5,5,0,0.722,0.759,0.835,0,1.097,0,0,0,4,0.85,0.08,0.026,0.106
"2711","Q69YQ0",10.47,9,12,0.861,0.795,0.904,0.955,1.28,1.481,0.833,0.934,1.203,9,1.03,0.08,0.731,0.84
"2712","Q6AI08",1.95,2,2,0,0,0,1.038,0.653,2.117,0,1.325,0,4,1.28,0.31,0.876,0.933
"2713","Q6AZY7",6.77,4,4,1.407,1.481,0.828,0.841,0.466,1.386,1.314,1.167,1.112,9,1.11,0.11,0.837,0.91
"2714","Q6DCA0",2.9,1,1,0,0.553,0.416,0.592,0.89,0.777,0,1.162,0,6,0.73,0.11,0.098,0.237
"2715","Q6DD87",3.39,1,1,0.996,0.813,0.935,1.265,0.636,1.088,1.331,0.544,0.668,9,0.92,0.09,0.131,0.285
"2716","Q6DD88",7.76,3,3,1.19,1.189,0.649,0.554,0.694,0.989,0.711,1.249,1.049,9,0.92,0.09,0.284,0.464
"2717","Q6DKI1",4.47,1,1,1.122,0.793,1.078,1.092,1.344,0.794,1.122,0.972,1.381,9,1.08,0.07,0.08,0.211
"2718","Q6DKJ4",18.85,8,8,1.4,1.089,1.065,1.292,1.156,1.278,1.591,1.379,1.403,9,1.29,0.06,0,0.01
"2719","Q6DKK2",7.63,3,3,0,0,0,0,0,1.196,1.257,0,0,2,0,0,0,0
"2720","Q6EEV4",25,2,2,1.265,0.974,1.228,0.946,0.936,0.742,0.962,0.73,0.952,9,0.97,0.06,0.771,0.867
"2721","Q6FI81",32.05,10,10,1.238,0.98,1.07,1.077,1.115,0.999,1.264,1.061,1.323,9,1.13,0.04,0.004,0.031
"2722","Q6FIF0",4.33,1,1,0.672,0.9,0.818,1.199,1.997,1.303,0.973,2.159,1.619,9,1.29,0.18,0.174,0.34
"2723","Q6GMV2",2.15,1,1,0.737,0.558,0.515,1.405,1.19,1.505,1.984,1.268,1.679,9,1.2,0.17,0.565,0.726
"2724","Q6GMV3",20.71,3,3,0.788,0.746,0.882,0.977,1.02,0.887,0.796,0.939,0.9,9,0.88,0.03,0.008,0.051
"2725","Q6I9Y2",26.47,5,5,0.958,1.027,1.181,1.249,1.15,1.074,1,0.984,0.921,9,1.06,0.04,0.301,0.481
"2726","Q6IA69",2.55,2,2,0.841,0.745,0.731,0.796,1.453,0.628,0.708,1.2,1.359,9,0.94,0.1,0.83,0.906
"2727","Q6IAA8",40.37,4,4,1.173,1.496,1.541,1.336,1.239,1.281,1.004,1.182,0.93,9,1.24,0.07,0.023,0.098
"2728","Q6IBS0",19.2,4,6,0.921,0.775,0.769,1.222,1.09,1.15,1.745,0.866,1.145,9,1.08,0.1,0.674,0.806
"2729","Q6ICG8",5.83,1,1,0.626,1.258,0.649,0.842,0.8,1.612,0.802,1.523,0.761,9,0.99,0.13,0.163,0.326
"2730","Q6IE81",2.97,2,2,0,0,1.168,0.612,0.802,0,0,0,0,3,0.86,0.16,0.422,0.605
"2731","Q6IN84",3.12,1,1,0,0,0,0,0.912,0,0,0.62,0.852,3,0.79,0.09,0.101,0.241
"2732","Q6IN85",14.41,9,11,1.075,1,0.923,1.06,1.022,1.146,1.118,1.032,1.162,9,1.06,0.03,0.054,0.169
"2733","Q6IQ22",26.64,5,6,0.727,0.833,0.849,1.101,1.084,1.021,0.911,0.986,0.835,9,0.93,0.04,0.057,0.174
"2734","Q6IQ49",12.64,5,5,0.994,0.979,1.084,0.761,0.845,0.646,0.656,0.982,1.115,9,0.9,0.06,0.286,0.466
"2735","Q6KC79",6.95,19,19,0.992,0.995,0.993,1.161,1.015,1.081,1,1.08,0.947,9,1.03,0.02,0.506,0.678
"2736","Q6L8Q7",11.82,4,4,0.999,0.804,1.137,0.97,1.26,0.887,1.008,0.888,0.912,9,0.99,0.05,0.723,0.838
"2737","Q6NTF9",13.46,2,2,0,0,0,0.753,1.568,0.648,0.631,1.342,1.313,6,1.04,0.17,0.591,0.746
"2738","Q6NUK1",27.04,13,13,1.238,1.418,1.107,0.822,0.827,0.991,0.894,1,0.926,9,1.02,0.07,0.932,0.964
"2739","Q6NUQ1",4.29,2,2,0,0,0,0.712,1.04,0.938,1.068,1.363,1.42,6,1.09,0.11,0.292,0.473
"2740","Q6NUQ4",10.01,6,6,0.647,1.201,2.845,4.162,4.089,1.072,0.934,1.047,0.917,9,1.88,0.47,0.142,0.298
"2741","Q6NVY1",16.84,7,7,0.569,0.64,0.742,0.755,0.884,0.676,0.528,0.746,0.633,9,0.69,0.04,0,0.004
"2742","Q6NW29",14.89,3,3,1.032,0.817,1.138,1.334,1.294,0.947,1.194,0.913,1.158,9,1.09,0.06,0.104,0.248
"2743","Q6NW34",3.53,2,2,0.954,0.805,1.003,0.768,0.993,0.863,1.265,1.109,1.633,9,1.04,0.09,0.374,0.555
"2744","Q6NXE6",13.97,6,6,0.875,0.779,0.845,0.524,0.866,0.63,0.663,0.705,1.068,9,0.77,0.05,0.019,0.088
"2745","Q6NXR4",12.8,5,5,1.268,0.861,0.733,0.778,0.826,0.904,1.33,0.954,1.41,9,1.01,0.09,0.778,0.871
"2746","Q6NYC8",10.11,5,5,1.189,0.9,0.73,0.969,0.954,1.29,1.42,1.027,1.697,9,1.13,0.1,0.245,0.421
"2747","Q6NZ67",18.35,2,2,2.135,3.336,1.516,0.457,1.175,0.994,0.635,2.542,1.633,9,1.6,0.31,0.133,0.287
"2748","Q6NZI2",26.67,9,9,1.108,1.016,0.746,0.472,0.499,0.634,0.701,0.836,0.844,9,0.76,0.07,0.023,0.099
"2749","Q6NZY4",14,8,8,0.886,1.253,1.112,0.957,0.867,1.098,0.743,0.998,0.696,9,0.96,0.06,0.151,0.31
"2750","Q6NZY7",8.78,1,1,2.114,1.552,1.499,1.669,1.475,1.707,2.324,1.501,2.053,9,1.77,0.11,0,0.001
